"habitacion","tipo","parcial","hospedaje","descripcion","amaneties","observaciones","razon_bloqueo"
"01",triple,23.0,45.0,"TV 32L, JACUZZI, MUEBLES, RADIO",0,,
"02",confort,23.0,35.0,"",0,,
"03",triple,23.0,45.0,"",0,,
"04",confort,23.0,35.0,"",0,,
"05",triple,23.0,45.0,"",0,,
"06",triple,23.0,45.0,"",0,,
"07",confort,23.0,35.0,"",0,,
"08",triple,23.0,45.0,"",0,,
"09",confort,23.0,35.0,"",0,,
"10",cuadruple,23.0,50.0,"",0,,
"11",cuadruple,23.0,50.0,"",0,,
"12",confort,23.0,35.0,"",0,,
"13",triple,23.0,45.0,"",0,,
"14",confort,23.0,35.0,"",0,,
"15",triple,23.0,45.0,"",0,,
"16",triple,23.0,45.0,"",0,,
"17",confort,23.0,35.0,"",0,,
"18",cuadruple,23.0,50.0,"",0,,
"19",confort,23.0,35.0,"",0,,
"20",triple,23.0,45.0,"",0,,
"21",sencilla,23.0,30.0,"",0,,
"22",sencilla,23.0,30.0,"",0,,
"23",sencilla,23.0,30.0,"",0,,
"24",sencilla,23.0,30.0,"",0,,
"25",sencilla,23.0,30.0,"",0,,
"26",sencilla,23.0,30.0,"",0,,
"27",sencilla,23.0,30.0,"",0,,
"28",sencilla,23.0,30.0,"",0,,
"29",sencilla,23.0,30.0,"",0,,
"30",sencilla,23.0,30.0,"",0,,
"31",sencilla,23.0,30.0,"",0,,
"32",sencilla,23.0,30.0,"",0,,
"33",sencilla,23.0,30.0,"",0,,
"34",sencilla,23.0,30.0,"",0,,
"35",sencilla,23.0,30.0,"",0,,
"36",sencilla,23.0,30.0,"",0,,
"37",sencilla,23.0,30.0,"",0,,
"38",sencilla,23.0,30.0,"",0,,
"39",sencilla,23.0,30.0,"",0,,
"40",sencilla,23.0,30.0,"",0,,
"41",sencilla,23.0,30.0,"",0,,
"42",sencilla,23.0,30.0,"",0,,
"43",sencilla,23.0,30.0,"",0,,
"44",sencilla,23.0,30.0,"",0,,
"45",sencilla,23.0,30.0,"",0,,
"46",sencilla,23.0,30.0,"",0,,
"47",sencilla,23.0,30.0,"",0,,
"48",presidencial,23.0,45.0,"",0,,
AP1,apartamento,23.0,90.0,"",0,,
AP2,apartamento,23.0,90.0,"",0,,
